,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
RWDD2A,-0.102864433,-1.3426971,-1.746719908,0.783065325,-0.769233665,-0.660050943,0.258663963,-0.550298066,-1.173624305,-0.545656996,1.259206855,1.012676325,0.001369751,1.024224515,-1.598532434,1.512154538,1.02856912,-0.471884345,0.478944036,1.078573437,0.52411433,C1,RWDD2A,ENSG00000013392.7
POLR3B,-0.52800884,1.769767453,1.389640219,-1.088851787,1.496717747,0.043369204,-1.14318945,1.412698961,0.094162247,-1.160558393,-0.320865682,-0.146790085,-1.097189552,0.00784495,0.318349603,-0.880142646,1.10035554,-0.719460912,-0.884467535,1.117069872,-0.780450915,C4,POLR3B,ENSG00000013503.9
MAMLD1,-0.436915372,0.365043099,0.534553265,-0.838360556,0.32457671,0.817143667,-0.209877222,0.896381943,0.636843408,-2.380660834,-2.174335978,-1.600004417,-0.307528725,0.480415232,0.605757593,-0.108406266,1.171910441,0.880901682,0.176768133,0.848932476,0.316861721,C4,MAMLD1,ENSG00000013619.13
MTMR11,-0.737032013,-0.737032013,0.168538205,-0.737032013,0.02374208,-0.737032013,-0.737032013,-0.608097429,-0.389761504,-0.737032013,-0.737032013,-0.305062462,1.27655867,0.812768464,0.189623594,2.700726761,0.868064598,-0.123342411,2.019529554,-0.737032013,-0.737032013,C3,MTMR11,ENSG00000014914.20
BID,0.852466528,0.739454231,0.943542715,0.978899806,1.003014769,1.32627844,0.645709486,0.80447918,0.951422803,0.08901897,0.389767177,0.982348595,-1.516627543,-1.242882458,-1.03831118,-0.835466944,-0.842670737,-1.250322791,-1.162467601,-0.662780002,-1.154873445,C2,BID,ENSG00000015475.18
XYLT2,-0.583446749,-0.499209507,-1.062211533,-0.700558459,-0.690679516,-0.982290024,-0.168154743,-0.559758241,-0.83155031,-1.427443862,-1.145980505,-1.007908036,1.331007294,1.357520837,0.944113995,1.014191685,1.122471445,0.738607219,1.34005244,1.200292641,0.61093393,C3,XYLT2,ENSG00000015532.9
CHDH,-0.624011582,0.529870829,1.182185046,-0.429447348,1.450942684,2.490105824,-0.121622351,1.14624643,1.528863364,-1.116861184,-1.054167148,-0.893461403,-0.954375141,-0.804116263,-0.15422195,-0.679863377,-0.215718496,-0.368576077,-0.467602984,-0.416853281,-0.027315593,C4,CHDH,ENSG00000016391.10
IGF1,-0.660415715,-0.089586639,0.107849293,-0.963364289,-0.360026801,-0.462028164,-0.354917876,0.036004735,-0.635174782,-1.674301427,-1.564851149,-1.721886455,0.422007621,1.068060513,0.774203328,0.009966957,1.418499929,1.232795859,0.823961352,1.426716839,1.166486873,C5,IGF1,ENSG00000017427.15
RUFY3,0.87393699,-0.7127105,-0.93041422,0.675283825,-0.557426753,-1.528730272,0.659468075,-0.575278639,-1.641796394,-1.386440191,0.782680803,2.070632567,-0.071553273,0.885501793,-0.44547352,-0.06196299,1.466447961,0.25382078,-0.409263276,0.992933701,-0.339656469,C1,RUFY3,ENSG00000018189.12
HGF,-0.912785421,-0.912785421,-0.144945355,-0.912785421,-0.138606057,1.736571055,-0.912785421,-0.912785421,1.714416829,-0.912785421,-0.859948649,-0.912785421,-0.912785421,0.706399975,1.656908366,0.430851942,1.222888192,0.975110999,-0.693526665,0.334507828,0.361654908,C5,HGF,ENSG00000019991.15
